step,obj_values,accepted
31,550.93424,false
31,550.93424,false
31,590.752685,false
31,555.339929,false
32,566.616773,false
32,590.752685,false
32,590.752685,false
32,566.616773,false
32,590.752685,false
32,555.339929,false
32,550.93424,false
32,555.339929,false
32,590.752685,false
32,590.752685,false
32,537.105934,true
32,566.616773,false
32,555.339929,false
32,590.752685,false
32,590.752685,false
32,555.339929,false
32,590.752685,false
32,566.616773,false
32,537.105934,true
33,550.93424,false
33,566.616773,false
33,537.105934,true
33,537.105934,true
33,550.93424,false
33,566.616773,false
33,555.339929,false
33,566.616773,false
33,555.339929,false
33,590.752685,false
33,590.752685,false
33,590.752685,false
33,550.93424,false
33,590.752685,false
33,566.616773,false
33,590.752685,false
34,555.339929,false
34,590.752685,false
34,550.93424,false
34,550.93424,false
34,590.752685,false
34,590.752685,false
34,566.616773,false
34,550.93424,false
34,590.752685,false
34,590.752685,false
34,566.616773,false
34,537.105934,true
34,550.93424,false
34,566.616773,false
34,555.339929,false
34,590.752685,false
34,590.752685,false
34,555.339929,false
35,550.93424,false
35,555.339929,false
35,590.752685,false
35,566.616773,false
35,590.752685,false
35,550.93424,false
35,537.105934,true
35,550.93424,false
35,550.93424,false
35,550.93424,false
35,550.93424,false
36,550.93424,false
36,590.752685,false
36,590.752685,false
36,566.616773,false
36,550.93424,false
36,537.105934,true
36,555.339929,false
36,537.105934,true
36,566.616773,false
36,566.616773,false
36,590.752685,false
36,550.93424,false
37,550.93424,false
37,537.105934,true
37,555.339929,false
37,590.752685,false
37,550.93424,false
37,590.752685,false
37,550.93424,false
37,590.752685,false
37,555.339929,false
37,537.105934,true
37,550.93424,false
37,555.339929,false
37,537.105934,true
37,590.752685,false
37,537.105934,true
38,590.752685,false
38,566.616773,false
38,550.93424,false
38,550.93424,false
38,590.752685,false
38,590.752685,false
38,550.93424,false
38,590.752685,false
38,590.752685,false
38,590.752685,false
38,537.105934,true
38,590.752685,false
38,590.752685,false
38,590.752685,false
38,566.616773,false
38,590.752685,false
38,550.93424,false
39,550.93424,false
39,550.93424,false
39,590.752685,false
39,590.752685,false
39,590.752685,false
39,537.105934,true
39,590.752685,false
39,555.339929,false
39,550.93424,false
39,550.93424,false
39,590.752685,false
39,590.752685,false
39,555.339929,false
39,590.752685,false
39,550.93424,false
40,566.616773,false
40,537.105934,true
40,550.93424,false
40,550.93424,false
40,590.752685,false
40,590.752685,false
40,550.93424,false
40,590.752685,false
40,590.752685,false
40,590.752685,false
40,537.105934,true
40,590.752685,false
40,590.752685,false
40,566.616773,false
40,555.339929,false
40,566.616773,false
41,590.752685,false
41,550.93424,false
41,537.105934,true
41,590.752685,false
41,590.752685,false
41,555.339929,false
41,590.752685,false
41,537.105934,true
41,590.752685,false
41,590.752685,false
41,550.93424,false
41,555.339929,false
41,566.616773,false
41,550.93424,false
41,537.105934,true
41,555.339929,false
41,537.105934,true
42,550.93424,false
42,590.752685,false
42,566.616773,false
42,590.752685,false
42,590.752685,false
42,550.93424,false
42,590.752685,false
42,550.93424,false
42,555.339929,false
42,555.339929,false
42,537.105934,true
42,590.752685,false
42,550.93424,false
