csn,Scenario,Choice_,RECRE,PRICE,CF,CF_car,CF_stay,CF_pt,CF_age,CF_male,CF_income,CF_child,CF_bike,BIKELANE,BIKESEP,DIST6,DIST3,FREQ_HIGHER,FREQ_HIGHEST,UNGUARDED,GUARDED,ID_1
62,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
63,1,1,3,1,1,0,0,5,35,0,1,2,1,1,0,0,0,0,0,0,1,6
63,2,0,1,2,1,0,0,5,35,0,1,2,1,0,1,0,0,1,0,1,0,6
63,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
82,1,1,2,5,1,0,0,4,26,0,1,1,1,1,0,1,0,0,0,0,1,7
82,2,0,2,1,1,0,0,4,26,0,1,1,1,0,0,0,1,1,0,0,0,7
82,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
83,1,0,2,5,1,0,0,4,26,0,1,1,1,0,0,0,0,0,0,1,0,7
83,2,1,1,3,1,0,0,4,26,0,1,1,1,0,1,1,0,0,1,0,0,7
83,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
84,1,0,1,3,1,0,0,4,26,0,1,1,1,1,0,0,0,1,0,0,0,7
84,2,1,2,5,1,0,0,4,26,0,1,1,1,0,1,0,1,0,1,0,0,7
84,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
85,1,0,1,4,1,0,0,4,26,0,1,1,1,0,0,0,0,1,0,1,0,7
85,2,1,3,2,1,0,0,4,26,0,1,1,1,1,0,1,0,0,0,1,0,7
85,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
86,1,0,1,4,1,0,0,4,26,0,1,1,1,0,1,0,1,1,0,0,0,7
86,2,1,2,1,1,0,0,4,26,0,1,1,1,0,0,0,0,1,0,1,0,7
86,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
87,1,1,3,2,1,0,0,4,26,0,1,1,1,0,0,0,1,0,1,0,1,7
87,2,0,3,6,1,0,0,4,26,0,1,1,1,0,0,1,0,1,0,1,0,7
87,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
88,1,0,3,6,1,0,0,4,26,0,1,1,1,0,1,0,1,0,1,0,0,7
88,2,1,1,3,1,0,0,4,26,0,1,1,1,0,1,0,0,0,1,0,1,7
88,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
89,1,0,3,6,1,0,0,4,26,0,1,1,1,1,0,1,0,0,1,0,1,7
89,2,1,3,2,1,0,0,4,26,0,1,1,1,1,0,0,1,0,0,0,1,7
89,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
90,1,1,2,1,1,0,0,4,26,0,1,1,1,0,1,1,0,0,0,1,0,7
90,2,0,1,4,1,0,0,4,26,0,1,1,1,1,0,0,0,0,0,0,1,7
90,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
91,1,0,1,5,1,0,0,5,27,1,1,1,1,1,0,0,1,0,0,0,0,8
