choice,FSG_1,FSG_2,FSG_3,FSG_4,FSG_5,FSO_1,FSO_2,FSO_3,FSO_4,FSO_5,TT_1,TT_2,TT_3,TT_4,TT_5
2,1730,3153,1184,526,1188,15564,6816,228,3918,3200,290,290,399,505,859
5,1188,1730,1184,526,3153,3200,15564,228,3918,6816,859,290,399,505,290
4,2701,417,3400,4409,1668,4208,0,17619,19541,10866,1400,0,0,0,1400
1,7024,106,2469,2705,20452,12895,327,17977,89841,83361,672,672,1004,1208,1208
1,1239,1504,671,527,2477,12395,198,1492,106,10492,731,0,507,731,731
5,671,106,7024,2469,843,1492,327,12895,17977,153,1600,672,672,1004,980
2,106,7024,2469,2705,20452,327,12895,17977,89841,83361,672,672,1004,1208,1208
4,1556,2932,1028,2109,2469,434,2181,4333,1759,17977,1896,876,1976,0,1004
5,1817,629,1044,1622,834,1498,779,4743,7598,1250,2996,0,0,2392,0
2,629,834,1044,1622,1817,779,1250,4743,7598,1498,0,0,0,2392,2996
1,834,629,1044,1622,1817,1250,779,4743,7598,1498,0,0,0,2392,2996
5,1817,629,1044,1622,834,1498,779,4743,7598,1250,2996,0,0,2392,0
4,1314,898,6617,2725,946,6220,56296,95932,3107,236,249,0,0,976,425
1,4358,898,6617,1314,63,16200,56296,95932,6220,1050,1109,0,0,249,335
4,0,854,63,2725,3610,5333,263,1050,3107,5189,488,0,488,549,631
1,4054,5190,163,54,1247,2456,59651,1310,1601,4727,0,0,1264,1264,1264
2,5190,4054,163,54,1247,59651,2456,1310,1601,4727,0,0,1264,1264,1264
5,1247,5190,163,54,4054,4727,59651,1310,1601,2456,1264,0,1264,1264,0
3,280,1481,177,1856,231,5127,1372,907,3751,2347,1296,0,0,1296,2100
2,1481,177,280,1856,231,1372,907,5127,3751,2347,0,0,1296,1296,2100
1,803,442,231,2063,177,1587,125,2347,3878,907,771,0,0,0,618
5,233,403,1622,347,3708,1470,40,7598,431,6001,0,740,740,2100,552
1,889,91,1199,4358,60,480,401,13735,16200,26,268,0,268,276,0
5,889,1031,135,900,3403,480,7272,409,5818,12516,268,345,594,874,345
1,2001,322,591,36,1506,4634,1712,423,276,632,0,0,1708,2296,2000
5,995,329,817,0,413,1513,1285,1505,281,4402,882,0,747,747,506
2,110,699,0,681,2304,0,2341,30,6536,8249,2340,0,2268,2800,1900
2,699,2304,0,681,2449,2341,8249,30,6536,6044,0,1067,676,811,1197
3,280,1481,177,1856,699,5127,1372,907,3751,2341,1296,0,0,1296,0
2,1481,177,280,1856,231,1372,907,5127,3751,2347,0,0,1296,1296,2100
5,177,3210,1491,900,165,907,3884,8362,5818,437,0,1564,1564,2388,0
3,3479,4160,2473,1817,1622,27106,19515,1131,1498,7598,0,0,247,369,687
2,60,959,309,1991,130,26,5877,2546,10068,324,0,0,0,0,1300
1,2952,456,176,625,60,4534,0,4754,577,26,0,0,0,1144,0
4,2952,435,176,456,625,4534,100,4754,0,577,0,0,0,0,1144
2,547,260,275,2578,176,0,128,4672,3929,4754,0,0,0,0,0
1,1192,2201,903,1324,260,2578,30672,735,2309,128,0,0,267,630,0
1,2109,3289,3401,2287,570,1759,9748,21946,1420,3478,1720,0,0,837,837
1,350,585,258,3610,3289,1083,781,813,5189,9748,0,0,1780,2336,0
2,322,2001,591,36,1506,1712,4634,423,276,632,0,0,1708,2296,2000
